"Focus","Non-Focus","Off-Color Focus","Off-Color Non-Focus","Trash","OrbSpent"
11,14,1,3,319,1624
11,11,1,1,292,1472
11,2,1,0,246,1193
11,9,3,1,338,1696
11,17,3,2,486,2418
11,27,3,6,640,3213
11,17,2,4,431,2179
11,10,2,3,300,1520
11,6,0,0,223,1104
11,7,2,1,317,1573
11,9,5,4,464,2303
11,4,0,2,235,1171
11,9,2,2,261,1334
11,25,5,4,667,3321
11,8,5,3,413,2055
11,11,2,1,224,1156
11,17,5,2,457,2294
11,16,2,4,568,2809
11,12,5,3,457,2301
11,11,0,3,264,1342
11,7,4,6,278,1439
11,15,2,2,421,2110
11,15,4,3,413,2076
11,15,3,3,335,1706
11,13,7,3,448,2248
11,8,5,4,319,1608
11,8,2,0,360,1770
11,19,0,3,363,1833
11,12,1,3,407,2012
11,8,3,3,280,1420
11,3,1,0,208,1030
11,8,1,1,269,1339
11,13,1,1,305,1552
11,12,0,0,323,1609
11,17,4,2,440,2223
11,9,5,1,333,1690
11,19,4,1,477,2379
11,7,1,1,219,1113
11,10,1,3,291,1476
11,20,3,3,507,2523
11,7,4,1,288,1444
11,17,3,3,453,2273
11,19,3,4,494,2482
11,14,1,3,287,1476
11,13,5,6,644,3171
11,17,2,4,436,2176
11,8,3,1,266,1347
11,10,0,1,216,1112
11,22,6,2,483,2461
11,14,0,8,425,2157
11,17,1,3,441,2193
11,14,1,1,291,1482
11,4,3,0,204,1034
11,11,3,5,423,2130
11,17,3,1,363,1836
11,20,3,3,453,2285
11,12,1,1,336,1679
11,7,0,2,267,1339
11,15,2,1,376,1892
11,17,8,2,353,1830
11,8,5,0,283,1428
11,16,2,4,421,2129
11,11,5,2,453,2244
11,10,1,1,413,2025
11,16,4,2,426,2131
11,20,3,3,705,3456
11,17,3,3,415,2115
11,7,7,0,252,1301
11,3,1,1,207,1041
11,11,1,1,365,1809
11,10,0,0,280,1409
11,10,0,1,446,2209
11,10,2,1,277,1411
11,8,2,1,219,1123
11,14,5,1,431,2158
11,6,1,1,247,1235
11,11,1,3,349,1743
11,12,5,4,437,2184
11,3,0,1,201,1011
11,10,1,1,328,1635
11,20,1,1,401,2015
11,14,4,2,455,2281
11,5,0,1,192,964
11,11,2,0,421,2073
11,8,1,0,196,1001
11,8,0,3,332,1644
11,13,1,2,365,1833
11,8,0,2,300,1489
11,11,2,1,378,1868
11,11,4,2,447,2212
11,1,1,1,205,1024
11,17,0,1,361,1805
11,13,3,0,351,1762
11,5,1,2,209,1060
11,12,1,0,331,1656
11,10,2,1,363,1802
11,14,3,1,444,2196
11,8,1,1,250,1247
11,7,1,2,322,1594
11,9,1,0,391,1913
11,13,2,1,268,1371
11,9,1,1,250,1262
11,7,2,1,304,1513
