"Legendary 1","Legendary 2","Legendary 3","Off-Color Legendary 1","Off-Color Legendary 2","Off-Color Legendary 3","Trash","OrbSpent"
11,4,4,1,1,0,262,1312
11,11,19,2,0,1,532,2677
11,13,15,1,1,5,472,2412
11,14,4,2,3,2,388,1992
11,22,11,1,4,6,501,2596
11,11,9,1,2,0,258,1362
11,10,11,2,3,5,372,1924
11,12,12,0,1,2,492,2460
11,15,17,2,0,3,450,2320
11,12,7,2,3,0,319,1649
11,14,12,3,3,2,496,2525
11,11,7,2,1,4,384,1955
11,24,28,5,3,4,691,3582
11,6,11,1,2,0,307,1577
11,9,10,2,2,5,529,2650
11,3,7,0,2,3,349,1752
11,9,13,2,4,2,492,2477
11,8,9,2,0,1,288,1481
11,9,5,2,0,0,219,1148
11,11,10,1,3,1,350,1800
11,7,5,4,4,1,316,1631
11,3,6,0,1,0,243,1221
11,5,8,1,2,3,301,1537
11,10,16,4,3,2,495,2520
11,7,12,2,1,6,343,1781
11,17,16,3,4,3,560,2877
11,15,9,4,2,1,440,2244
11,5,7,0,0,2,247,1267
11,10,13,1,5,1,373,1935
11,17,13,1,5,2,484,2490
11,16,13,1,6,1,446,2292
11,19,15,1,0,3,446,2296
11,15,10,3,2,3,562,2820
11,10,9,1,3,3,411,2087
11,17,5,1,4,2,362,1870
11,8,13,2,3,0,439,2211
11,15,12,0,4,3,435,2246
11,18,10,1,0,0,473,2400
11,14,7,1,2,2,442,2232
11,16,18,4,3,2,439,2311
11,14,11,4,1,1,406,2102
11,4,6,1,2,1,260,1317
11,13,14,2,1,0,345,1807
11,14,18,3,4,2,562,2881
11,16,21,2,2,2,607,3086
11,15,16,5,4,1,427,2235
11,12,10,2,1,3,468,2374
11,26,24,2,4,7,820,4178
11,9,4,0,1,4,357,1791
11,13,16,6,1,4,579,2950
11,13,9,1,3,2,385,1973
11,14,23,1,2,1,599,3034
11,11,8,2,1,2,401,2021
11,15,10,1,5,2,446,2288
11,6,11,2,1,0,302,1546
11,7,12,3,3,3,454,2302
11,3,4,0,0,0,158,817
11,8,12,0,0,1,478,2372
11,10,13,6,0,2,409,2109
11,10,6,1,1,2,246,1272
11,13,14,2,0,3,388,2015
11,13,5,3,0,1,312,1611
11,6,8,3,4,2,261,1369
11,13,14,2,3,1,401,2081
11,11,15,3,2,5,651,3262
11,16,15,3,1,3,591,2976
11,8,9,1,4,2,375,1901
11,22,15,5,2,5,706,3563
11,23,16,4,1,5,707,3565
11,24,28,3,2,4,773,3932
11,14,14,2,5,5,503,2576
11,17,21,5,5,6,685,3480
11,10,16,5,3,0,417,2143
11,4,4,0,3,0,228,1160
11,11,13,0,0,3,403,2057
11,11,15,4,5,2,542,2751
11,6,2,0,1,1,209,1071
11,12,12,1,3,2,493,2505
11,10,8,2,1,4,395,2016
11,8,9,3,0,1,338,1725
11,9,11,1,2,2,420,2128
11,8,8,1,2,2,353,1800
11,5,9,1,2,1,339,1701
11,16,17,3,5,3,642,3251
11,11,15,3,0,2,516,2604
11,6,7,1,2,1,235,1231
11,4,9,0,0,0,321,1598
11,11,15,2,3,3,391,2037
11,12,13,2,2,0,433,2193
11,5,7,1,2,0,263,1346
11,13,19,8,2,7,596,3073
11,5,7,1,1,3,250,1285
11,14,11,2,1,3,507,2573
11,10,1,1,0,4,175,949
11,6,4,1,2,0,264,1345
11,4,13,0,2,4,499,2484
11,8,11,2,0,1,416,2073
11,23,28,6,2,2,657,3408
11,3,10,2,2,2,366,1835
11,11,19,1,1,1,394,2045
11,7,11,2,2,3,330,1701
11,9,8,1,3,2,414,2093
11,9,6,0,1,0,236,1218
11,2,15,2,4,0,349,1795
11,20,17,2,3,2,546,2821
11,14,17,5,3,3,583,2967
11,7,9,1,0,1,265,1374
11,7,9,2,1,3,360,1826
11,10,12,1,4,1,471,2363
11,2,8,4,0,1,261,1352
11,16,14,2,2,3,423,2205
11,14,8,3,3,1,309,1619
11,7,6,2,5,1,348,1773
11,14,11,3,0,1,392,2014
11,9,15,8,2,6,471,2443
11,6,4,0,3,2,334,1672
11,12,9,1,1,6,365,1893
11,12,16,4,2,3,522,2640
11,12,13,3,1,2,314,1653
11,11,16,5,2,2,432,2228
11,12,16,1,4,6,476,2462
11,13,8,1,5,0,316,1656
11,19,12,1,2,0,379,1988
11,23,19,8,10,2,783,3982
11,11,16,2,1,0,469,2369
11,9,14,3,0,2,430,2196
11,12,7,1,2,0,330,1676
11,4,11,4,3,2,368,1886
11,8,6,5,0,2,310,1608
11,6,7,1,0,0,257,1313
11,15,8,2,2,3,498,2514
11,10,9,2,1,2,524,2597
11,9,6,0,1,3,261,1357
11,15,11,2,3,1,394,2031
11,5,10,1,1,1,247,1287
11,4,8,1,1,2,242,1248
11,5,14,3,2,0,437,2197
11,11,7,3,1,2,424,2151
11,6,8,0,1,1,347,1748
11,18,12,4,6,5,607,3099
11,12,18,3,3,2,469,2409
11,14,11,2,2,2,435,2237
11,12,14,4,1,0,411,2119
11,6,7,2,1,2,225,1188
11,12,10,2,0,0,423,2122
11,12,10,2,1,3,451,2279
11,24,15,1,5,1,551,2827
11,19,15,5,6,4,574,2954
11,5,11,2,2,0,291,1497
11,17,20,3,3,6,742,3748
11,12,12,4,1,2,477,2416
11,18,18,0,0,4,529,2707
11,6,14,1,1,1,329,1691
11,12,22,5,1,1,475,2457
11,9,8,1,1,0,349,1775
11,13,5,2,1,1,427,2155
11,4,4,1,1,2,260,1321
11,11,8,4,3,0,446,2248
11,17,15,1,5,3,496,2572
11,5,8,1,2,3,255,1327
11,7,7,2,0,2,318,1617
11,13,11,3,0,3,483,2431
11,19,18,5,2,7,607,3129
11,8,5,0,4,2,307,1571
11,6,9,2,2,1,342,1752
11,8,11,1,0,1,388,1947
11,7,11,0,1,2,387,1927
11,13,16,1,1,1,422,2158
11,9,14,5,3,2,519,2632
11,7,13,6,2,0,381,1969
11,8,12,1,0,3,359,1841
11,15,16,3,4,3,475,2457
11,11,9,3,0,2,491,2464
11,16,15,3,4,5,585,2982
11,8,9,2,0,1,302,1549
11,17,17,7,2,0,568,2916
11,12,15,2,2,2,465,2378
11,4,14,3,3,5,495,2486
11,11,8,2,3,0,363,1865
11,10,12,2,3,2,451,2282
11,14,18,4,4,4,564,2878
11,8,12,0,6,0,392,2010
11,16,11,1,1,2,381,1978
11,11,13,2,3,3,427,2193
11,12,9,1,2,3,411,2091
11,11,5,1,3,1,320,1643
11,7,12,0,1,0,285,1461
11,10,12,0,0,1,341,1751
11,15,7,1,2,1,372,1914
11,3,6,1,1,1,165,876
11,8,11,3,1,4,476,2400
11,8,10,0,0,1,276,1438
11,13,16,3,3,6,448,2340
11,13,17,3,3,2,511,2612
11,15,16,3,5,3,570,2913
11,13,8,1,4,1,378,1956
11,11,8,0,1,2,304,1574
11,10,12,3,2,1,489,2451
11,9,9,1,1,0,277,1440
11,8,13,5,2,1,414,2112
11,9,6,4,0,0,374,1886
11,8,11,1,5,0,403,2050
11,19,19,3,6,7,679,3471
11,11,12,1,1,1,318,1642
11,12,19,8,4,6,548,2853
11,8,9,4,3,0,294,1523
11,16,12,6,3,4,553,2844
11,9,11,0,3,4,501,2512
11,11,4,3,3,2,352,1805
11,12,16,6,4,2,454,2355
11,10,13,2,6,1,503,2555
11,15,10,1,5,3,521,2629
